transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T612588,2023-01-01T10:58:31.626236,ACC868573,ACC302807,76.53,payment,retail,Singapore,pos,FALSE,,-2353.15348,0.73,7,0.83,card,171.19.117.223,D5724632
T2438097,2023-01-01T11:00:06.626236,ACC300001,ACC999992,2502.69,deposit,travel,Berlin,mobile,FALSE,,-7379.789183,0.47,22,0.99,UPI,185.20.14.77,D2920628
T4267009,2023-01-01T11:04:27.626236,ACC100001,ACC999991,3500.5,deposit,other,Berlin,mobile,FALSE,,525.6623892,0.04,18,0.9,wire_transfer,203.0.113.45,D6531482
T3995934,2023-01-01T11:08:55.626236,ACC200001,ACC200011,2500,deposit,retail,London,atm,FALSE,,3573.830603,-1.26,20,0.99,card,103.45.67.89,D9725910
T1334768,2023-01-01T11:10:44.626236,ACC100002,ACC999991,2540.75,transfer,online,New York,web,FALSE,,-340.7762612,-0.25,20,0.85,ACH,198.51.100.22,D8211471
T2250197,2023-01-01T11:13:55.626236,ACC300002,ACC999992,2199.33,withdrawal,restaurant,Tokyo,pos,FALSE,,-3529.845684,-0.38,21,0.98,wire_transfer,185.20.14.77,D6256065
T4858876,2023-01-01T11:19:30.626236,ACC400001,ACC400011,2580,withdrawal,online,London,pos,TRUE,card_not_present,-1857.337368,0.59,19,0.92,card,142.250.190.46,D6553147
T1818245,2023-01-01T11:23:14.626236,ACC100003,ACC999991,1600,payment,grocery,New York,web,FALSE,,,0.06,19,0.95,UPI,45.33.22.11,D3211951
T4969482,2023-01-01T11:28:54.626236,ACC300003,ACC999992,3245,transfer,other,Tokyo,pos,FALSE,,-1220.924333,-0.79,20,0.81,ACH,185.20.14.77,D9958777
T3714003,2023-01-01T11:38:49.626236,ACC400002,ACC400012,3100,transfer,online,London,pos,FALSE,,1195.010489,0.44,18,0.89,card,172.217.16.14,D8739622
T2211242,2023-01-01T11:44:04.626236,ACC200002,ACC200012,1185.67,deposit,online,Berlin,pos,FALSE,,-378.1417627,-0.6,18,0.88,wire_transfer,103.45.67.89,D5460863
T3885032,2023-01-01T16:14:34.701173,ACC196210,ACC626082,30.47,payment,grocery,London,web,FALSE,,-6664.354741,1.13,19,0.1,UPI,198.115.163.17,D8643009
T3618270,2023-01-01T17:32:57.577002,ACC286596,ACC288998,850.29,deposit,retail,Dubai,web,FALSE,,-3974.89397,0,6,0.36,wire_transfer,241.125.225.61,D2235597
T4002298,2023-01-01T18:41:18.773244,ACC923993,ACC352308,62.79,payment,online,Berlin,web,FALSE,,-538.0408125,-0.57,1,0.45,UPI,90.100.26.86,D6700848
T4041030,2023-01-01T21:15:08.376883,ACC515253,ACC147305,4.17,transfer,other,Toronto,atm,FALSE,,-7631.056992,0.81,6,0.51,wire_transfer,179.51.211.248,D8412996
T3540745,2023-01-01T21:19:07.365332,ACC663943,ACC200293,926.62,deposit,retail,Tokyo,pos,FALSE,,-2212.829966,-0.46,13,0.45,UPI,34.240.127.174,D5580579
T1674919,2023-01-01T23:10:19.054877,ACC693826,ACC960729,23.46,transfer,grocery,Toronto,mobile,FALSE,,,-0.97,14,0.55,card,103.149.165.207,D6802784
T116607,2023-01-02T02:10:16.988321,ACC353129,ACC214521,365.14,withdrawal,other,Dubai,pos,FALSE,,,-0.39,10,0.59,card,155.46.206.160,D2463423
T3115169,2023-01-02T08:42:02.415385,ACC991794,ACC950670,202.74,payment,utilities,Toronto,mobile,FALSE,,-719.3510953,-0.55,3,0.82,UPI,22.243.96.90,D1075849
T566200,2023-01-02T09:42:25.482014,ACC310185,ACC734275,1411.42,deposit,utilities,Toronto,mobile,FALSE,,-798.2126204,-0.26,17,0.53,UPI,120.38.111.28,D2411078
T4097316,2023-01-02T14:30:23.963168,ACC978095,ACC844528,11.6,transfer,grocery,Tokyo,pos,FALSE,,-3423.164612,0.62,17,0.02,card,169.13.133.113,D4882842
T1185148,2023-01-02T16:10:25.012913,ACC563155,ACC983581,328.07,withdrawal,grocery,London,pos,FALSE,,-5290.736345,-0.33,18,0.17,card,180.33.34.125,D2336468
T1409807,2023-01-02T17:54:17.900393,ACC457316,ACC640527,324.29,withdrawal,entertainment,Sydney,mobile,FALSE,,,-0.01,2,0.19,card,246.153.165.214,D8881807
T1030642,2023-01-02T19:52:33.142016,ACC877453,ACC577572,210.21,payment,utilities,Berlin,atm,FALSE,,,-0.04,20,0.16,ACH,179.158.55.203,D5777851
T4514705,2023-01-02T20:06:12.456688,ACC691730,ACC273580,22.01,transfer,retail,New York,atm,FALSE,,-1927.509952,-0.17,20,0.35,UPI,174.253.178.74,D3313111
T4330191,2023-01-03T04:08:40.916415,ACC368344,ACC831804,6.13,payment,other,Dubai,mobile,FALSE,,-7819.959761,-0.22,10,0.37,card,151.252.122.133,D7433540
T1369959,2023-01-03T05:24:54.516206,ACC897085,ACC177818,424.26,withdrawal,utilities,New York,atm,FALSE,,-5637.956577,-0.2,14,0.3,wire_transfer,230.250.80.72,D6624447
T3915893,2023-01-03T05:53:09.345245,ACC310190,ACC990257,0.01,withdrawal,retail,Berlin,atm,FALSE,,-108.6286643,-0.43,6,0.64,wire_transfer,238.38.128.149,D5790588
T3211703,2023-01-03T09:26:01.558135,ACC954527,ACC129076,9.43,transfer,other,Sydney,mobile,FALSE,,-8077.664971,-0.27,2,0.23,card,41.170.59.134,D9738548
T1959394,2023-01-03T12:13:45.280089,ACC158661,ACC486041,478.01,withdrawal,entertainment,Tokyo,web,FALSE,,-757.2408267,-0.44,11,0.07,ACH,71.196.239.248,D4712602
T3652862,2023-01-03T13:00:17.504686,ACC522579,ACC161043,912.41,deposit,retail,Toronto,mobile,TRUE,card_not_present,-6185.548939,0.34,1,0.06,UPI,99.81.110.146,D5674086
T3042724,2023-01-03T14:34:24.704292,ACC914891,ACC227204,620.79,withdrawal,online,Toronto,pos,FALSE,,-3323.355873,-0.37,9,0.1,wire_transfer,42.18.242.214,D3321701
T1754886,2023-01-03T18:21:01.446536,ACC916604,ACC913989,64.69,payment,utilities,London,pos,FALSE,,,-0.83,2,0.19,wire_transfer,51.179.208.29,D5574590
T703633,2023-01-03T19:56:13.287570,ACC400455,ACC536204,659.76,deposit,online,Sydney,mobile,FALSE,,,0.56,7,0.64,ACH,21.100.86.151,D3960317
T4609839,2023-01-03T20:45:16.555686,ACC722141,ACC316146,9.64,transfer,online,Toronto,mobile,FALSE,,-6373.60182,1.25,15,0.59,wire_transfer,64.221.22.154,D7536768
T2095675,2023-01-03T21:57:56.450752,ACC450977,ACC776757,455.69,deposit,utilities,New York,atm,FALSE,,-6593.933633,0.03,1,0.35,ACH,229.65.158.45,D7070661
T3769120,2023-01-04T02:33:20.116003,ACC659686,ACC131611,108.02,payment,other,Singapore,pos,FALSE,,-4979.541392,0.04,17,0.02,wire_transfer,228.113.121.162,D6908492
T739357,2023-01-04T02:33:32.452961,ACC279930,ACC206641,13.53,payment,retail,London,pos,FALSE,,,0.4,1,0.44,UPI,17.160.159.212,D1005476
T4875020,2023-01-04T05:45:07.902541,ACC224919,ACC883631,56.39,transfer,restaurant,London,atm,FALSE,,-1507.42568,-0.37,6,0.04,UPI,30.8.130.176,D3078554
T2194062,2023-01-04T06:24:57.358735,ACC669396,ACC116378,648.67,deposit,travel,Berlin,mobile,FALSE,,-7141.804817,1.77,19,0.3,card,150.17.94.225,D9517140
T3799045,2023-01-04T06:51:29.097028,ACC568828,ACC887163,19.64,transfer,other,Tokyo,pos,FALSE,,-4343.085169,1.62,16,0.77,ACH,31.177.80.146,D1348347
T3128207,2023-01-04T08:00:16.887897,ACC249077,ACC116309,40.42,transfer,retail,Tokyo,web,FALSE,,-6467.7352,1.09,8,0.77,ACH,208.137.36.124,D7333233
T642592,2023-01-04T08:17:58.201604,ACC215434,ACC473319,268.63,payment,retail,London,mobile,FALSE,,,0.65,18,0.32,UPI,93.40.28.199,D9881951
T4680900,2023-01-04T09:38:28.941394,ACC868138,ACC830658,266.55,withdrawal,restaurant,New York,web,FALSE,,-5652.905878,-1.13,11,0.59,UPI,91.71.73.238,D9809033
T1749691,2023-01-04T12:21:24.980921,ACC489342,ACC138643,179.2,deposit,retail,Tokyo,pos,FALSE,,-8031.061531,2.2,9,0.92,card,245.219.137.31,D5160852
T554297,2023-01-04T14:49:38.641179,ACC735456,ACC376837,25.4,transfer,grocery,Dubai,mobile,FALSE,,,-0.21,9,0.06,UPI,133.98.114.205,D4921712
T1771858,2023-01-04T15:10:14.225960,ACC777523,ACC263818,231.51,withdrawal,restaurant,London,web,FALSE,,-8037.573244,-1.22,4,0.27,UPI,2.85.79.169,D9365860
T2036467,2023-01-04T15:34:17.022782,ACC694441,ACC949487,70.64,payment,utilities,Dubai,web,FALSE,,,-0.11,2,0.93,UPI,182.142.219.43,D4499259
T1464367,2023-01-04T18:07:46.870216,ACC498393,ACC938837,96.52,withdrawal,utilities,Toronto,web,FALSE,,-1524.29942,-0.62,6,0.29,ACH,198.44.77.56,D5342307
T4072579,2023-01-04T18:23:06.966916,ACC396284,ACC438753,85.39,payment,utilities,London,pos,FALSE,,-6683.45446,0.91,12,0.1,UPI,115.2.248.226,D1856436
T598801,2023-01-04T19:54:08.435072,ACC763353,ACC477183,239.07,withdrawal,entertainment,Dubai,pos,FALSE,,,0.04,9,0.05,ACH,32.236.236.213,D4215657
T4232250,2023-01-04T22:18:31.808007,ACC702127,ACC706235,271.79,withdrawal,restaurant,Dubai,mobile,FALSE,,-7683.882311,0.33,14,0.09,UPI,247.36.245.112,D5360251
T4681734,2023-01-05T01:48:29.557666,ACC737310,ACC458614,224.01,payment,retail,Dubai,mobile,FALSE,,-4581.573065,1.33,13,0.93,card,200.145.171.247,D7141417
T1505762,2023-01-05T03:22:17.583097,ACC503693,ACC458614,757.96,deposit,grocery,Toronto,web,FALSE,,-2644.252069,1.09,14,0.67,UPI,149.221.82.179,D3880813
T3927246,2023-01-05T04:45:10.190867,ACC153696,ACC458614,30.02,transfer,online,London,mobile,TRUE,card_not_present,-5413.745169,-1.27,15,0.38,UPI,133.49.12.82,D9335357
T2004953,2023-01-05T06:34:06.720385,ACC336295,ACC817349,515.88,deposit,other,London,pos,FALSE,,-1471.584195,0.83,5,0.5,wire_transfer,11.84.181.97,D3217898
T905623,2023-01-05T06:40:55.006421,ACC354982,ACC997550,562.88,deposit,other,New York,web,FALSE,,,1.35,5,0.5,ACH,197.40.100.38,D9892117
T3201710,2023-01-05T08:04:56.622046,ACC532471,ACC825937,464.29,withdrawal,grocery,Dubai,atm,FALSE,,-2190.781872,0.54,4,0.86,UPI,237.146.37.246,D5479960
T2210847,2023-01-05T08:44:30.194795,ACC223837,ACC986773,229.61,payment,entertainment,Berlin,pos,FALSE,,,1.08,12,0.58,UPI,188.140.99.119,D1760181
T508467,2023-01-05T10:21:08.679468,ACC250352,ACC173934,719.81,deposit,grocery,Sydney,web,FALSE,,-4775.409737,-0.94,12,0.95,card,77.238.125.35,D8952959
T3344865,2023-01-05T10:45:06.962770,ACC260788,ACC789417,263.52,payment,online,Sydney,mobile,FALSE,,-5276.683103,1.31,2,0.67,UPI,157.243.79.74,D4967919
T521177,2023-01-05T11:25:56.258276,ACC240058,ACC786698,14.57,transfer,grocery,New York,atm,FALSE,,-7038.988122,0.09,14,0.9,UPI,90.48.251.97,D1546934
T3371550,2023-01-05T12:43:10.464954,ACC985146,ACC300292,432.45,withdrawal,utilities,Berlin,pos,FALSE,,-3386.499869,-1.61,7,0.5,wire_transfer,84.249.167.74,D3246319
T2014314,2023-01-05T13:07:18.030214,ACC498314,ACC244957,151.32,payment,entertainment,Tokyo,atm,FALSE,,,-0.39,20,0.76,UPI,170.215.162.142,D6082125
T1693343,2023-01-05T14:15:29.774343,ACC853929,ACC931258,94.33,payment,restaurant,Toronto,web,FALSE,,,1.11,20,0.22,card,0.87.204.224,D5167811
T433189,2023-01-05T20:11:04.429833,ACC853247,ACC944791,453.82,deposit,retail,Tokyo,atm,FALSE,,-4331.743563,0.12,10,0.96,wire_transfer,11.186.125.184,D8231749
T131451,2023-01-06T01:11:03.634256,ACC313123,ACC155198,147.18,payment,retail,Berlin,web,FALSE,,,-0.08,19,0.57,wire_transfer,116.87.164.72,D3932504
T1936392,2023-01-06T03:07:58.195652,ACC202071,ACC423466,31.47,payment,travel,Berlin,web,FALSE,,-1643.889549,0.8,14,0.58,wire_transfer,122.174.142.72,D3891156
T2959442,2023-01-06T11:40:32.047353,ACC573587,ACC950338,25.77,transfer,restaurant,Sydney,atm,FALSE,,-4564.656903,-0.78,20,0.58,UPI,73.28.186.0,D1193713
T152114,2023-01-06T12:22:20.450471,ACC752293,ACC611442,629.7,deposit,grocery,Berlin,atm,FALSE,,,0.27,17,0.91,UPI,155.113.202.141,D4105652
