transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T116607,2023-01-02T02:10:16.988321,ACC353129,ACC214521,365.14,withdrawal,other,Dubai,pos,False,,,-0.39,10,0.59,card,155.46.206.160,D2463423
T1185148,2023-01-02T16:10:25.012913,ACC563155,ACC983581,328.07,withdrawal,grocery,London,pos,False,,-5290.7363450708335,-0.33,18,0.17,card,180.33.34.125,D2336468
T1030642,2023-01-02T19:52:33.142016,ACC877453,ACC577572,210.21,payment,utilities,Berlin,atm,False,,,-0.04,20,0.16,ACH,180.33.34.125,D5777851
T1369959,2023-01-03T05:24:54.516206,ACC897085,ACC177818,424.26,withdrawal,utilities,New York,atm,False,,-5637.956576613611,-0.2,14,0.3,wire_transfer,180.33.34.125,D6624447
T3211703,2023-01-03T09:26:01.558135,ACC954527,ACC129076,9.43,transfer,other,Sydney,mobile,False,,-8077.664971235833,-0.27,2,0.23,card,41.170.59.134,D9738548
T1754886,2023-01-03T18:21:01.446536,ACC916604,ACC913989,64.69,payment,utilities,London,pos,False,,,-0.83,2,0.19,wire_transfer,51.179.208.29,D5574590
T2095675,2023-01-03T21:57:56.450752,ACC450977,ACC776757,455.69,deposit,utilities,New York,atm,False,,-6593.933632840278,0.03,1,0.35,ACH,229.65.158.45,D7070661
T4875020,2023-01-04T05:45:07.902541,ACC224919,ACC883631,56.39,transfer,restaurant,London,atm,False,,-1507.4256802927778,-0.37,6,0.04,UPI,30.8.130.176,D3078554
T2194062,2023-01-04T06:24:57.358735,ACC669396,ACC883631,648.67,deposit,travel,Berlin,mobile,False,,-7141.804817301944,1.77,19,0.3,card,150.17.94.225,D9517140
T3799045,2023-01-04T06:51:29.097028,ACC568828,ACC883631,19.64,transfer,other,Tokyo,pos,False,,-4343.085169403056,1.62,16,0.77,ACH,31.177.80.146,D1348347
T3128207,2023-01-04T07:00:16.887897,ACC249077,ACC883631,40.42,transfer,retail,Tokyo,web,False,,-6467.735200486944,1.09,8,0.77,ACH,31.177.80.146,D7333233
T642592,2023-01-04T08:17:58.201604,ACC215434,ACC473319,268.63,payment,retail,London,mobile,False,,,0.65,18,0.32,UPI,31.177.80.146,D9881951
T4681734,2023-01-05T01:48:29.557666,ACC737310,ACC458614,224.01,payment,retail,Dubai,mobile,False,,-4581.5730645466665,1.33,13,0.93,card,31.177.80.146,D7141417
T3927246,2023-01-05T04:45:10.190867,ACC153696,ACC857313,30.02,transfer,online,London,mobile,True,card_not_present,-5413.745168816389,-1.27,15,0.38,UPI,133.49.12.82,D9335357
T905623,2023-01-05T06:40:55.006421,ACC354982,ACC997550,562.88,deposit,other,New York,web,False,,,1.35,5,0.5,ACH,197.40.100.38,D9892117
T3344865,2023-01-05T10:45:06.962770,ACC260788,ACC789417,263.52,payment,online,Sydney,mobile,False,,-5276.683103335833,1.31,2,0.67,UPI,157.243.79.74,D4967919
T521177,2023-01-05T11:25:56.258276,ACC240058,ACC786698,14.57,transfer,grocery,New York,atm,False,,-7038.988122128333,0.09,14,0.9,UPI,90.48.251.97,D1546934
T1548723,2023-01-06T14:03:46.492900,ACC371561,ACC975177,51.35,payment,utilities,Toronto,atm,False,,-5245.653532118611,-0.76,15,0.68,ACH,219.122.29.32,D5209205
T276956,2023-01-07T01:43:53.042801,ACC201013,ACC993399,1178.76,deposit,utilities,Dubai,mobile,False,,,1.47,15,0.77,ACH,16.102.38.91,D4979863
T4889467,2023-01-07T09:40:32.584869,ACC901162,ACC957993,243.08,withdrawal,other,Singapore,pos,False,,-552.6655424455555,1.25,12,0.42,card,195.172.197.249,D2582754
